"","STATENAME","URL","WEBSITE","ACTIVITY.LEVEL","ACTIVITY.LEVEL.LABEL","WEEKEND","WEEK","SEASON","integerActivityLevel"
"20","Maine","http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml","Weekly Surveillance Updates","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"21","Maryland","https://phpa.health.maryland.gov/influenza/fluwatch","Influenza Surveillance","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"22","Massachusetts","http://blog.mass.gov/publichealth/category/flu-facts/","Influenza Surveillance Data","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"23","Michigan","http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html","Influenza Activity and Surveillance","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"24","Minnesota","http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html","Weekly Influenza Activity: Statistics","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"25","Mississippi","http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html","Mississippi Flu Surveillance and Influenza-Like Illness Reports","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"26","Missouri","http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php","Influenza Data & Statistical Reports ","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"27","Montana","http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx","Influenza: What You Need to Know","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"28","Nebraska","http://dhhs.ne.gov/publichealth/Pages/flu.aspx","Weekly Flu Report","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"29","Nevada","http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/","Influenza (Flu): Surveillance, News Releases and Brochures","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"30","New Hampshire","http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm","Influenza Control and Surveillance","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"31","New Jersey","http://www.nj.gov/health/cd/topics/flu.shtml","Seasonal Influenza - Surveillance","Level 2","Minimal","Oct-06-2018",40,"2018-19",2
"32","New Mexico","https://nmhealth.org/about/erd/ideb/isp/","Flu in New Mexico","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"33","New York","http://www.health.ny.gov/diseases/communicable/influenza/surveillance/","Influenza Activity, Surveillance and Reports","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"34","North Carolina","http://www.flu.nc.gov/%20","North Carolina Influenza Update","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"35","North Dakota","http://www.ndflu.com/default.aspx","Influenza","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"36","Ohio","http://www.flu.ohio.gov%20","Influenza Information","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"37","Oklahoma","https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html","Influenza Information","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"38","Oregon","http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx","Influenza Disease Surveillance Data","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"39","Pennsylvania","http://www.flufreepa.com","Influenza Weekly Report ","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"40","Rhode Island","http://www.health.ri.gov/data/flu/index.php","Influenza Surveillance","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"41","South Carolina","http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/","Influenza Activity and Surveillance","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"42","South Dakota","http://doh.sd.gov/diseases/infectious/flu/default.aspx","Influenza Information","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"43","Tennessee","http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html","Influenza-Like Illness Surveillance Summary Archive","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"44","Texas","http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/","Influenza Surveillance","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"45","Utah","http://health.utah.gov/epi/diseases/influenza/surveillance/index.html","Seasonal Influenza Weekly Update","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"46","Vermont","http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance","Flu Activity","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"47","Virginia","http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/","Virginia Weekly Influenza Activity Report","Level 2","Minimal","Oct-06-2018",40,"2018-19",2
"48","Washington","http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData","Influenza Update","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"49","West Virginia","http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx","Current Influenza Surveillance","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"50","Wisconsin","http://www.dhs.wisconsin.gov/communicable/influenza/index.htm","Tracking Influenza in Wisconsin","Level 2","Minimal","Oct-06-2018",40,"2018-19",2
"51","Wyoming","https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/","Influenza","Level 2","Minimal","Oct-06-2018",40,"2018-19",2
"52","New York City","http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page","Surveillance Data","Level 2","Minimal","Oct-06-2018",40,"2018-19",2
"53","Puerto Rico","http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx","Puerto Rico Departamento de Salud","Level 6","Moderate","Oct-06-2018",40,"2018-19",6
"54","Virgin Islands","http://doh.vi.gov/","Influenza","Level 3","Minimal","Oct-06-2018",40,"2018-19",3
"55","Alabama","http://adph.org/influenza/","Influenza Surveillance","Level 2","Minimal","Oct-13-2018",41,"2018-19",2
"56","Alaska","http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20","Influenza Surveillance Report","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"57","Arizona","http://www.azdhs.gov/phs/oids/epi/flu/index.htm","Influenza & RSV Surveillance","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"58","Arkansas","http://www.healthy.arkansas.gov/programs-services/topics/influenza","Communicable Disease and Immunizations","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"59","California","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx","Influenza (Flu)","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"60","Colorado","https://www.colorado.gov/pacific/cdphe/influenza","Influenza Surveillance","Level 2","Minimal","Oct-13-2018",41,"2018-19",2
"61","Connecticut","http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics","Flu Statistics","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"62","Delaware","http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html","Weekly Influenza Surveillance Reports","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"63","District of Columbia","http://doh.dc.gov/page/influenza-season","Influenza Information","Level 2","Minimal","Oct-13-2018",41,"2018-19",2
"64","Florida","http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20","Weekly Influenza Surveillance Reports","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"65","Georgia","https://dph.georgia.gov/flu-activity-georgia","Weekly Influenza Surveillance in Georgia","Level 3","Minimal","Oct-13-2018",41,"2018-19",3
"66","Hawaii","http://health.hawaii.gov/docd/resources/reports/influenza-reports/","Hawaii's Influenza Surveillance Program","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"67","Idaho","http://flu.idaho.gov","Influenza","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"68","Illinois","http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance","Seasonal Influenza Surveillance Reports","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"69","Indiana","http://www.in.gov/isdh/22104.htm","Influenza in Indiana","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"70","Iowa","http://idph.iowa.gov/influenza/surveillance","Iowa Influenza Surveillance Network","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"71","Kansas","http://www.kdheks.gov/flu/surveillance.htm","Influenza Information","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"72","Kentucky","https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx","Influenza - Flu","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"73","Louisiana","http://new.dhh.louisiana.gov/index.cfm/page/1591","Influenza","Level 3","Minimal","Oct-13-2018",41,"2018-19",3
"74","Maine","http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml","Weekly Surveillance Updates","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"75","Maryland","https://phpa.health.maryland.gov/influenza/fluwatch","Influenza Surveillance","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"76","Massachusetts","http://blog.mass.gov/publichealth/category/flu-facts/","Influenza Surveillance Data","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"77","Michigan","http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html","Influenza Activity and Surveillance","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"78","Minnesota","http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html","Weekly Influenza Activity: Statistics","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"79","Mississippi","http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html","Mississippi Flu Surveillance and Influenza-Like Illness Reports","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"80","Missouri","http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php","Influenza Data & Statistical Reports ","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"81","Montana","http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx","Influenza: What You Need to Know","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"82","Nebraska","http://dhhs.ne.gov/publichealth/Pages/flu.aspx","Weekly Flu Report","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"83","Nevada","http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/","Influenza (Flu): Surveillance, News Releases and Brochures","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"84","New Hampshire","http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm","Influenza Control and Surveillance","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"85","New Jersey","http://www.nj.gov/health/cd/topics/flu.shtml","Seasonal Influenza - Surveillance","Level 2","Minimal","Oct-13-2018",41,"2018-19",2
"86","New Mexico","https://nmhealth.org/about/erd/ideb/isp/","Flu in New Mexico","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"87","New York","http://www.health.ny.gov/diseases/communicable/influenza/surveillance/","Influenza Activity, Surveillance and Reports","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"88","North Carolina","http://www.flu.nc.gov/%20","North Carolina Influenza Update","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"89","North Dakota","http://www.ndflu.com/default.aspx","Influenza","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"90","Ohio","http://www.flu.ohio.gov%20","Influenza Information","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"91","Oklahoma","https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html","Influenza Information","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"92","Oregon","http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx","Influenza Disease Surveillance Data","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"93","Pennsylvania","http://www.flufreepa.com","Influenza Weekly Report ","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"94","Rhode Island","http://www.health.ri.gov/data/flu/index.php","Influenza Surveillance","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"95","South Carolina","http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/","Influenza Activity and Surveillance","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"96","South Dakota","http://doh.sd.gov/diseases/infectious/flu/default.aspx","Influenza Information","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"97","Tennessee","http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html","Influenza-Like Illness Surveillance Summary Archive","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"98","Texas","http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/","Influenza Surveillance","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"99","Utah","http://health.utah.gov/epi/diseases/influenza/surveillance/index.html","Seasonal Influenza Weekly Update","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"100","Vermont","http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance","Flu Activity","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"101","Virginia","http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/","Virginia Weekly Influenza Activity Report","Level 2","Minimal","Oct-13-2018",41,"2018-19",2
"102","Washington","http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData","Influenza Update","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"103","West Virginia","http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx","Current Influenza Surveillance","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"104","Wisconsin","http://www.dhs.wisconsin.gov/communicable/influenza/index.htm","Tracking Influenza in Wisconsin","Level 2","Minimal","Oct-13-2018",41,"2018-19",2
"105","Wyoming","https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/","Influenza","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"106","New York City","http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page","Surveillance Data","Level 2","Minimal","Oct-13-2018",41,"2018-19",2
"107","Puerto Rico","http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx","Puerto Rico Departamento de Salud","Level 4","Low","Oct-13-2018",41,"2018-19",4
"108","Virgin Islands","http://doh.vi.gov/","Influenza","Level 1","Minimal","Oct-13-2018",41,"2018-19",1
"109","Alabama","http://adph.org/influenza/","Influenza Surveillance","Level 2","Minimal","Oct-20-2018",42,"2018-19",2
"110","Alaska","http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20","Influenza Surveillance Report","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"111","Arizona","http://www.azdhs.gov/phs/oids/epi/flu/index.htm","Influenza & RSV Surveillance","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"112","Arkansas","http://www.healthy.arkansas.gov/programs-services/topics/influenza","Communicable Disease and Immunizations","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"113","California","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx","Influenza (Flu)","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"114","Colorado","https://www.colorado.gov/pacific/cdphe/influenza","Influenza Surveillance","Level 3","Minimal","Oct-20-2018",42,"2018-19",3
"115","Connecticut","http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics","Flu Statistics","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"116","Delaware","http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html","Weekly Influenza Surveillance Reports","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"117","District of Columbia","http://doh.dc.gov/page/influenza-season","Influenza Information","Level 2","Minimal","Oct-20-2018",42,"2018-19",2
"118","Florida","http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20","Weekly Influenza Surveillance Reports","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"119","Georgia","https://dph.georgia.gov/flu-activity-georgia","Weekly Influenza Surveillance in Georgia","Level 4","Low","Oct-20-2018",42,"2018-19",4
"120","Hawaii","http://health.hawaii.gov/docd/resources/reports/influenza-reports/","Hawaii's Influenza Surveillance Program","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"121","Idaho","http://flu.idaho.gov","Influenza","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"122","Illinois","http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance","Seasonal Influenza Surveillance Reports","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"123","Indiana","http://www.in.gov/isdh/22104.htm","Influenza in Indiana","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"124","Iowa","http://idph.iowa.gov/influenza/surveillance","Iowa Influenza Surveillance Network","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"125","Kansas","http://www.kdheks.gov/flu/surveillance.htm","Influenza Information","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"126","Kentucky","https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx","Influenza - Flu","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"127","Louisiana","http://new.dhh.louisiana.gov/index.cfm/page/1591","Influenza","Level 4","Low","Oct-20-2018",42,"2018-19",4
"128","Maine","http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml","Weekly Surveillance Updates","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"129","Maryland","https://phpa.health.maryland.gov/influenza/fluwatch","Influenza Surveillance","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"130","Massachusetts","http://blog.mass.gov/publichealth/category/flu-facts/","Influenza Surveillance Data","Level 2","Minimal","Oct-20-2018",42,"2018-19",2
"131","Michigan","http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html","Influenza Activity and Surveillance","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"132","Minnesota","http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html","Weekly Influenza Activity: Statistics","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"133","Mississippi","http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html","Mississippi Flu Surveillance and Influenza-Like Illness Reports","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"134","Missouri","http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php","Influenza Data & Statistical Reports ","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"135","Montana","http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx","Influenza: What You Need to Know","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"136","Nebraska","http://dhhs.ne.gov/publichealth/Pages/flu.aspx","Weekly Flu Report","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"137","Nevada","http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/","Influenza (Flu): Surveillance, News Releases and Brochures","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"138","New Hampshire","http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm","Influenza Control and Surveillance","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"139","New Jersey","http://www.nj.gov/health/cd/topics/flu.shtml","Seasonal Influenza - Surveillance","Level 2","Minimal","Oct-20-2018",42,"2018-19",2
"140","New Mexico","https://nmhealth.org/about/erd/ideb/isp/","Flu in New Mexico","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"141","New York","http://www.health.ny.gov/diseases/communicable/influenza/surveillance/","Influenza Activity, Surveillance and Reports","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"142","North Carolina","http://www.flu.nc.gov/%20","North Carolina Influenza Update","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"143","North Dakota","http://www.ndflu.com/default.aspx","Influenza","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"144","Ohio","http://www.flu.ohio.gov%20","Influenza Information","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"145","Oklahoma","https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html","Influenza Information","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"146","Oregon","http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx","Influenza Disease Surveillance Data","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"147","Pennsylvania","http://www.flufreepa.com","Influenza Weekly Report ","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"148","Rhode Island","http://www.health.ri.gov/data/flu/index.php","Influenza Surveillance","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"149","South Carolina","http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/","Influenza Activity and Surveillance","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"150","South Dakota","http://doh.sd.gov/diseases/infectious/flu/default.aspx","Influenza Information","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"151","Tennessee","http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html","Influenza-Like Illness Surveillance Summary Archive","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"152","Texas","http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/","Influenza Surveillance","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"153","Utah","http://health.utah.gov/epi/diseases/influenza/surveillance/index.html","Seasonal Influenza Weekly Update","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"154","Vermont","http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance","Flu Activity","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"155","Virginia","http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/","Virginia Weekly Influenza Activity Report","Level 3","Minimal","Oct-20-2018",42,"2018-19",3
"156","Washington","http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData","Influenza Update","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"157","West Virginia","http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx","Current Influenza Surveillance","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"158","Wisconsin","http://www.dhs.wisconsin.gov/communicable/influenza/index.htm","Tracking Influenza in Wisconsin","Level 2","Minimal","Oct-20-2018",42,"2018-19",2
"159","Wyoming","https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/","Influenza","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"160","New York City","http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page","Surveillance Data","Level 3","Minimal","Oct-20-2018",42,"2018-19",3
"161","Puerto Rico","http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx","Puerto Rico Departamento de Salud","Level 4","Low","Oct-20-2018",42,"2018-19",4
"162","Virgin Islands","http://doh.vi.gov/","Influenza","Level 1","Minimal","Oct-20-2018",42,"2018-19",1
"163","Alabama","http://adph.org/influenza/","Influenza Surveillance","Level 3","Minimal","Oct-27-2018",43,"2018-19",3
"164","Alaska","http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20","Influenza Surveillance Report","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"165","Arizona","http://www.azdhs.gov/phs/oids/epi/flu/index.htm","Influenza & RSV Surveillance","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"166","Arkansas","http://www.healthy.arkansas.gov/programs-services/topics/influenza","Communicable Disease and Immunizations","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"167","California","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx","Influenza (Flu)","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
